File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\ReceiverCommands.cs,459,356,194,79,93,0,10,38,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\ReceiverEntryCommands.cs,14,12,8,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\Commands\AboutCommand.cs,26,21,15,1,5,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\Commands\FontChange.cs,42,31,22,2,11,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\Commands\ImportCommand.cs,37,28,21,2,9,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Commands\Commands\XmlExportCommand.cs,49,33,23,1,8,0,8,46,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Controls\ConsoleLine.cs,39,32,22,0,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Controls\StackPanel.cs,80,62,39,2,16,0,2,6,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Properties\Resources.Designer.cs,64,33,17,3,9,1,22,119,0,1
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens\Screen.cs,138,79,54,5,24,0,35,140,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens\ScreenItem.cs,39,18,12,0,5,0,16,46,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens\ScreenItemEventArgs.cs,20,17,10,0,3,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens\ScreenManager.cs,90,45,28,2,15,0,30,135,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens\Screens\HomeMenuScreen.cs,34,28,18,0,6,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Screens\Screens\PartHomeMenuScreen.cs,35,29,19,0,6,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Windows\ConnectionWin.cs,22,19,13,0,3,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Windows\ConnectionWin.Designer.cs,39,24,12,1,4,0,11,54,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Windows\SettingsWin.cs,21,19,13,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\Windows\SettingsWin.Designer.cs,39,24,12,1,4,0,11,54,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\AppSettings.cs,86,49,27,2,9,6,28,116,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Program.cs,189,118,77,10,27,0,44,182,0,0
